eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201409120047,2014,9,12,92,India,6,South Asia,19.086906,84.285289,0,0,3,Bombing/Explosion,4,Military,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120049,2014,9,12,153,Pakistan,6,South Asia,24.868919,66.994495,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,0,0,7,0,-9,,
201409120050,2014,9,12,92,India,6,South Asia,26.144476,91.641939,0,0,3,Bombing/Explosion,19,Transportation,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120062,2014,9,12,195,Sudan,11,Sub-Saharan Africa,14.659295,25.159242,1,0,2,Armed Assault,3,Police,Unknown,5,Firearms,1,0,4,0,1,3,Minor (likely < $1 million)
201409120063,2014,9,11,195,Sudan,11,Sub-Saharan Africa,13.290278,24.934722,1,0,9,Unknown,4,Military,Liberation and Justice Movement (LJM),13,Unknown,23,0,,0,1,4,Unknown
201409120065,2014,9,12,95,Iraq,10,Middle East & North Africa,35.311037,43.198927,1,0,6,Hostage Taking (Kidnapping),3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,1,0,0,0,0,,
201409120066,2014,9,12,95,Iraq,10,Middle East & North Africa,32.066053,44.773577,1,0,3,Bombing/Explosion,21,Utilities,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,1,4,Unknown
201409120067,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120068,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120069,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120070,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120071,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120072,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120073,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120074,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120075,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120076,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
